Director,Client,Title,Thumbnail,Video
Toby Morris,Singapore Navy,Singapore Navy,directors/toby_morris/posters/SingaporeNavy_optimized.jpg,directors/toby_morris/reel/SingaporeNavy.mp4
Toby Morris,Kia,Kia,directors/toby_morris/posters/Kia_optimized.jpg,directors/toby_morris/reel/Kia.mp4
Toby Morris,Scratchies,Scratchies,directors/toby_morris/posters/Scratchies_optimized.jpg,directors/toby_morris/reel/Scratchies.mp4
Toby Morris,Praise,Praise,directors/toby_morris/posters/Praise_optimized.jpg,directors/toby_morris/reel/Praise.mp4
Toby Morris,TikTok,TikTok,directors/toby_morris/posters/TikTok_optimized.jpg,directors/toby_morris/reel/TikTok.mp4
Toby Morris,The Iconic,The Iconic,directors/toby_morris/posters/TheIconic_optimized.jpg,directors/toby_morris/reel/TheIconic.mp4
Toby Morris,Space,Space,directors/toby_morris/posters/Space_optimized.jpg,directors/toby_morris/reel/Space.mp4
