Director,Client,Title,Thumbnail,Video
Toby Morris,Singapore Navy,"It's Not Crazy, It's The Navy",directors/toby_morris/posters/SingaporeNavy_optimized.jpg,directors/toby_morris/reel/SingaporeNavy.mp4
Toby Morris,Kia,Movement That Inspires,directors/toby_morris/posters/Kia_optimized.jpg,directors/toby_morris/reel/Kia.mp4
Toby Morris,Instant Scratch-its,Scratchie Time,directors/toby_morris/posters/Scratchies_optimized.jpg,directors/toby_morris/reel/Scratchies.mp4
Toby Morris,Praise,Give It Some Mayo,directors/toby_morris/posters/Praise_optimized.jpg,directors/toby_morris/reel/Praise.mp4
Toby Morris,TikTok,Now You Know,directors/toby_morris/posters/TikTok_optimized.jpg,directors/toby_morris/reel/TikTok.mp4
Toby Morris,The Iconic,Choose Your Look,directors/toby_morris/posters/TheIconic_optimized.jpg,directors/toby_morris/reel/TheIconic.mp4
Toby Morris,Short Film,"Space: A Skate Odyssey",directors/toby_morris/posters/Space_optimized.jpg,directors/toby_morris/reel/Space.mp4
